LakeName,Year,ResidentialCount,AgriculturalCount,CommercialCount,IndustrialCount,PublicCount,AvgSeasonalLakeGrade,AvgSecchiDepth,AvgPhosphorus,ResidentialProportion,AgriculturalProportion,CommercialProportion,IndustrialProportion,PublicProportion,TotalCount
Bass Lake,2012,186,68,0,0,14,4,2.68432,0.036424242,0.694029851,0.253731343,0,0,0.052238806,268
Battle Creek Lake,2012,2028,12,298,0,404,#N/A,#N/A,#N/A,0.739606127,0.004376368,0.108679796,0,0.14733771,2742
Bavaria Lake,2012,1564,52,6,0,110,2,1.865384615,0.048642857,0.903002309,0.030023095,0.003464203,0,0.063510393,1732
Bay Pond,2012,543,84,0,0,122,0,0.286666667,0.518833333,0.724966622,0.112149533,0,0,0.162883845,749
Benton Lake,2012,483,90,65,21,50,0,0.232142857,0.225071429,0.681241185,0.126939351,0.09167842,0.029619182,0.070521862,709
Benz Lake,2012,84,26,0,0,8,1,1.0425,0.101538462,0.711864407,0.220338983,0,0,0.06779661,118
Berliner Lake,2012,861,297,115,16,92,#N/A,#N/A,#N/A,0.62346126,0.21506155,0.083272991,0.011585807,0.066618392,1381
Beutel Pond,2012,1266,14,86,0,214,#N/A,#N/A,#N/A,0.801265823,0.008860759,0.05443038,0,0.135443038,1580
Big Carnelian Lake,2012,313,22,0,0,32,4,4.716666667,0.02,0.852861035,0.059945504,0,0,0.08719346,367
Big Marine Lake,2012,41,22,0,0,118,#N/A,#N/A,#N/A,0.226519337,0.121546961,0,0,0.651933702,181
Big Woods Lake,2012,99,16,30,114,62,#N/A,#N/A,#N/A,0.308411215,0.049844237,0.093457944,0.355140187,0.193146417,321
Birch Lake,2012,6303,28,331,103,228,#N/A,#N/A,#N/A,0.901329901,0.004004004,0.047333047,0.014729015,0.032604033,6993
Bone Lake,2012,166,62,0,0,20,2,1.230769231,0.060923077,0.669354839,0.25,0,0,0.080645161,248
Brand Lake,2012,804,198,177,14,182,#N/A,#N/A,#N/A,0.584727273,0.144,0.128727273,0.010181818,0.132363636,1375
Braunworth Lake,2012,277,49,24,2,30,#N/A,#N/A,#N/A,0.72513089,0.128272251,0.062827225,0.005235602,0.078534031,382
Brick Pond,2012,1450,4,370,0,368,#N/A,0,0.1152,0.66149635,0.001824818,0.16879562,0,0.167883212,2192
Brickyard Clayhole Lake,2012,1066,4,90,14,139,4,3.453846154,0.022,0.811881188,0.003046458,0.068545316,0.010662605,0.105864433,1313
Bryant Lake,2012,665,0,128,42,8,#N/A,2.85,0.042,0.788849348,0,0.151838671,0.049822064,0.009489917,843
Buck Lake,2012,375,89,0,0,8,#N/A,#N/A,#N/A,0.794491525,0.188559322,0,0,0.016949153,472
Burandt Lake,2012,3180,47,409,52,219,#N/A,1.753571429,0,0.813923727,0.01202969,0.104683901,0.013309445,0.056053238,3907
Bush Lake,2012,12743,0,156,114,419,3,3.307692308,0.032769231,0.948704586,0,0.011614056,0.008487195,0.031194163,13432
Byllesby Lake,2012,3205,631,144,46,8,#N/A,#N/A,#N/A,0.794496777,0.156420426,0.035696579,0.011403074,0.001983143,4034
Calhoun Lake,2012,6520,0,1847,39,20,#N/A,#N/A,#N/A,0.773795395,0,0.219202469,0.004628531,0.002373606,8426
Campbell Lake,2012,155,343,10,0,9,#N/A,#N/A,#N/A,0.299806576,0.66344294,0.01934236,0,0.017408124,517
Capaul Pond,2012,99,28,0,0,18,#N/A,#N/A,#N/A,0.682758621,0.193103448,0,0,0.124137931,145
Carol Lake,2012,126,42,0,0,10,#N/A,1.219,0.0386,0.707865169,0.235955056,0,0,0.056179775,178
Carver Lake,2012,7204,8,124,7,563,#N/A,#N/A,#N/A,0.911206678,0.00101189,0.01568429,0.000885403,0.071211738,7906
Cates Lake,2012,2152,26,26,0,218,#N/A,1.66,0.037777778,0.888521883,0.01073493,0.01073493,0,0.090008258,2422
Cedar Island Lake,2012,2370,0,372,92,29,#N/A,#N/A,#N/A,0.827803004,0,0.129933636,0.032134125,0.010129235,2863
Cedar Lake,2012,1760,460,74,0,124,1,0.79826087,0.2326,0.727874276,0.190239868,0.030603805,0,0.051282051,2418
Cenaiko Lake,2012,22646,6,574,316,1083,3,1.757142857,0.026642857,0.919634518,0.000243655,0.023309645,0.012832487,0.043979695,24625
Centerville Lake,2012,948,21,23,16,228,#N/A,#N/A,#N/A,0.766990291,0.016990291,0.018608414,0.012944984,0.184466019,1236
Charley Lake,2012,2351,0,20,4,47,#N/A,#N/A,#N/A,0.970685384,0,0.008257638,0.001651528,0.01940545,2422
Christmas Lake,2012,6333,0,331,23,179,#N/A,4.8,0,0.922371104,0,0.048208564,0.00334984,0.026070492,6866
Chub Lake,2012,4843,685,194,21,110,#N/A,#N/A,#N/A,0.82743892,0.117034,0.033145396,0.003587904,0.018793781,5853
Clear Lake,2012,3279,233,557,0,764,#N/A,5.785714286,0,0.678460583,0.048210221,0.115249328,0,0.158079868,4833
Cleary Lake,2012,987,133,1,0,43,#N/A,#N/A,#N/A,0.847938144,0.114261168,0.000859107,0,0.036941581,1164
Cloverdale Lake,2012,250,0,48,0,54,3,2.566666667,0.046555556,0.710227273,0,0.136363636,0,0.153409091,352
Cobblecrest Lake,2012,6061,0,255,51,71,#N/A,0.55,0.1185,0.941441441,0,0.039608574,0.007921715,0.01102827,6438
Cobblestone Lake,2012,10734,73,371,56,4,2,1.153846154,0.049,0.955152162,0.006495818,0.033012992,0.004983093,0.000355935,11238
Colby Lake,2012,4867,28,32,0,749,1,0.717857143,0.156785714,0.857470049,0.004933051,0.005637773,0,0.131959126,5676
Coon Lake,2012,2388,214,369,8,632,#N/A,#N/A,#N/A,0.661312656,0.059263362,0.10218776,0.002215453,0.17502077,3611
Cornelia Lake,2012,3142,0,116,4,30,#N/A,#N/A,#N/A,0.954434994,0,0.035236938,0.001215067,0.009113001,3292
Courthouse Lake,2012,2154,75,162,36,418,4,4.221428571,0.035357143,0.75711775,0.026362039,0.056942004,0.012653779,0.146924429,2845
Cowley Lake,2012,3859,68,241,143,48,#N/A,#N/A,#N/A,0.885294792,0.015599908,0.05528791,0.032805689,0.0110117,4359
Crane Lake,2012,3741,0,197,18,54,#N/A,#N/A,#N/A,0.932917706,0,0.049127182,0.004488778,0.013466334,4010
Crooked Lake,2012,33597,212,1711,456,2370,#N/A,#N/A,#N/A,0.876153967,0.005528608,0.044620039,0.011891723,0.061805664,38346
Crystal Lake,2012,1734,0,16,0,0,2,2.120588235,0.034571429,0.990857143,0,0.009142857,0,0,1750
Cynthia Lake,2012,359,227,10,0,31,#N/A,#N/A,#N/A,0.572567783,0.362041467,0.015948963,0,0.049441786,627
Dan Patch Lake,2012,5086,26,353,8,538,#N/A,#N/A,#N/A,0.846115455,0.004325403,0.05872567,0.001330893,0.089502579,6011
DeMontreville Lake,2012,115,8,0,0,34,4,3.376666667,0.022466667,0.732484076,0.050955414,0,0,0.21656051,157
Dean Lake,2012,3598,38,200,0,367,#N/A,#N/A,#N/A,0.856055199,0.009041161,0.047585058,0,0.087318582,4203
Deeg Lake,2012,9338,0,418,56,8,#N/A,#N/A,#N/A,0.950916497,0,0.042566191,0.005702648,0.000814664,9820
Deep Lake,2012,767,56,1,0,14,#N/A,#N/A,#N/A,0.915274463,0.066825776,0.001193317,0,0.016706444,838
Diamond Lake,2012,1380,58,136,204,142,#N/A,#N/A,#N/A,0.71875,0.030208333,0.070833333,0.10625,0.073958333,1920
Downs Lake,2012,182,8,0,0,26,0,0.343142857,0.292833333,0.842592593,0.037037037,0,0,0.12037037,216
DuBay Lake,2012,3771,126,57,31,68,3,1.990909091,0.041857143,0.93042191,0.031088083,0.014063657,0.007648655,0.016777696,4053
Duck Lake,2012,5133,0,79,4,125,#N/A,#N/A,#N/A,0.961055982,0,0.014791238,0.000748923,0.023403857,5341
Dutch Lake,2012,1830,20,63,0,30,#N/A,#N/A,#N/A,0.941842512,0.010293361,0.032424086,0,0.015440041,1943
Eagle Lake,2012,86,232,4,2,12,0,1.2568,0.162055556,0.255952381,0.69047619,0.011904762,0.005952381,0.035714286,336
Earley Lake,2012,4103,0,225,20,0,3,1.916666667,0.05575,0.943652254,0,0.05174793,0.004599816,0,4348
East Lake,2012,19297,196,394,61,10,0,0.569230769,0.122307692,0.966880449,0.009820623,0.019741457,0.003056418,0.000501052,19958
East Twin Lake,2012,937,361,6,30,70,#N/A,#N/A,#N/A,0.667378917,0.257122507,0.004273504,0.021367521,0.04985755,1404
Echo Lake,2012,627,0,36,0,73,#N/A,1.6325,0.084714286,0.851902174,0,0.048913043,0,0.099184783,736
Edina Lake,2012,3575,0,6318,6138,78,#N/A,#N/A,#N/A,0.221925632,0,0.392203116,0.381029238,0.004842014,16109
Edith Lake,2012,240,48,0,0,130,3,2.638666667,0.066674419,0.574162679,0.114832536,0,0,0.311004785,418
Egg Lake,2012,2667,102,148,10,542,#N/A,#N/A,#N/A,0.768809455,0.029403286,0.042663592,0.002882675,0.156240992,3469
Fahlstrom Pond,2012,94,64,4,0,18,#N/A,#N/A,#N/A,0.522222222,0.355555556,0.022222222,0,0.1,180
Farquar Lake,2012,6581,0,4,2,0,0,0.628571429,0.165714286,0.999089115,0,0.000607257,0.000303628,0,6587
Fireman's Clayhole Lake,2012,1154,80,221,6,252,3,2.257142857,0.102285714,0.673671921,0.046701693,0.129013427,0.003502627,0.147110333,1713
Fish Lake,2012,15134,34,538,126,71,2,1.491425,0.10697619,0.951644344,0.002137961,0.033830095,0.007923033,0.004464566,15903
Forest Lake,2012,1542,12,484,0,400,3,1.871111111,0.039177778,0.632485644,0.004922067,0.19852338,0,0.164068909,2438
French Lake,2012,766,129,91,143,20,#N/A,#N/A,#N/A,0.666666667,0.11227154,0.079199304,0.124456049,0.01740644,1149
Friedrich's Pond,2012,65,10,0,0,26,#N/A,#N/A,#N/A,0.643564356,0.099009901,0,0,0.257425743,101
Gables Lake,2012,3820,393,34,0,416,#N/A,#N/A,#N/A,0.819215098,0.084280506,0.007291443,0,0.089212953,4663
Gaystock Lake,2012,876,163,14,4,35,#N/A,#N/A,#N/A,0.802197802,0.149267399,0.012820513,0.003663004,0.032051282,1092
George Lake,2012,693,18,18,0,108,#N/A,#N/A,#N/A,0.827956989,0.021505376,0.021505376,0,0.129032258,837
George Watch Lake,2012,1183,119,114,20,180,0,0.359,0.263833333,0.732054455,0.073638614,0.070544554,0.012376238,0.111386139,1616
German Lake,2012,128,64,6,0,14,#N/A,0,0.024142857,0.603773585,0.301886792,0.028301887,0,0.066037736,212
Gervais Lake,2012,2607,2,126,2,141,#N/A,#N/A,#N/A,0.905837387,0.000694927,0.043780403,0.000694927,0.048992356,2878
Glen Lake,2012,789,0,48,104,18,#N/A,#N/A,#N/A,0.822732013,0,0.050052138,0.108446298,0.018769552,959
Goetschel Lake,2012,235,36,30,0,82,#N/A,#N/A,#N/A,0.613577023,0.093994778,0.078328982,0,0.214099217,383
Goggins Lake,2012,81,32,2,0,6,2,1.412071429,0.144230769,0.669421488,0.26446281,0.016528926,0,0.049586777,121
Golden Lake,2012,4407,2,195,192,429,#N/A,#N/A,#N/A,0.843444976,0.000382775,0.037320574,0.036746411,0.082105263,5225
Goose Lake,2012,675,208,64,0,233,2,0.696028571,0.166588235,0.572033898,0.176271186,0.054237288,0,0.197457627,1180
Grace Lake,2012,3004,19,24,0,297,1,1.317857143,0.158071429,0.898325359,0.005681818,0.007177033,0,0.088815789,3344
Grass Lake,2012,15061,0,2078,1111,72,#N/A,#N/A,#N/A,0.822017247,0,0.113415566,0.060637485,0.003929702,18322
Haas Lake,2012,1494,28,46,0,125,#N/A,#N/A,#N/A,0.882457177,0.016538689,0.027170703,0,0.073833432,1693
Hafften Lake,2012,1228,134,14,2,28,#N/A,#N/A,#N/A,0.873399716,0.095305832,0.009957326,0.001422475,0.019914651,1406
Halfbreed Lake,2012,424,18,4,0,54,4,4.541666667,0.01875,0.848,0.036,0.008,0,0.108,500
Ham Lake,2012,9250,589,799,220,624,#N/A,#N/A,#N/A,0.805608779,0.051297683,0.06958718,0.019160425,0.054345933,11482
Harriet Lake,2012,10958,0,721,24,22,#N/A,#N/A,#N/A,0.934584222,0,0.061492537,0.002046908,0.001876333,11725
Hart Lake,2012,20354,0,3176,989,328,#N/A,#N/A,#N/A,0.819173341,0,0.127822272,0.039803598,0.013200789,24847
Harvey Lake,2012,7742,0,233,14,106,#N/A,#N/A,#N/A,0.956392835,0,0.0287832,0.001729463,0.013094503,8095
Haughey Lake,2012,332,58,8,2,18,#N/A,#N/A,#N/A,0.794258373,0.138755981,0.019138756,0.004784689,0.043062201,418
Hay Lake,2012,149,36,0,0,70,#N/A,#N/A,#N/A,0.584313725,0.141176471,0,0,0.274509804,255
Hazeltine Lake,2012,1172,30,54,81,153,0,0.282142857,0.204357143,0.786577181,0.020134228,0.036241611,0.054362416,0.102684564,1490
Heims Lake,2012,334,76,4,0,63,#N/A,#N/A,#N/A,0.700209644,0.15932914,0.008385744,0,0.132075472,477
Henry Lake,2012,1738,181,8,4,34,#N/A,#N/A,#N/A,0.884478372,0.092111959,0.004071247,0.002035623,0.017302799,1965
Hidden Lake,2012,1766,0,138,75,35,#N/A,#N/A,#N/A,0.876861966,0,0.068520357,0.037239325,0.017378352,2014
Highland Lake,2012,1714,0,10,0,79,#N/A,#N/A,#N/A,0.950637826,0,0.005546312,0,0.043815862,1803
Holland Lake,2012,545,0,20,0,0,#N/A,4.433333333,0,0.96460177,0,0.03539823,0,0,565
Hornbean Lake,2012,1494,5,91,41,0,#N/A,#N/A,#N/A,0.916002452,0.003065604,0.055793991,0.025137952,0,1631
Horseshoe Lake,2012,1432,0,2,0,17,2,1.586714286,0.048,0.986905582,0,0.00137836,0,0.011716058,1451
Hydes Lake,2012,53,50,6,0,8,2,1.339285714,0.087785714,0.452991453,0.427350427,0.051282051,0,0.068376068,117
Independence Lake,2012,1978,54,177,97,71,#N/A,#N/A,#N/A,0.832141355,0.022717711,0.07446361,0.040807741,0.029869584,2377
Isabelle Lake,2012,8159,242,447,102,79,#N/A,#N/A,#N/A,0.903643814,0.026802525,0.049507144,0.011296932,0.008749585,9029
Island Lake,2012,370,93,48,0,139,3,1.335714286,0.043,0.569230769,0.143076923,0.073846154,0,0.213846154,650
Jackson WMA,2012,603,0,0,0,106,2,1.717857143,0.066846154,0.850493653,0,0,0,0.149506347,709
Jane Lake,2012,319,14,0,0,30,#N/A,5.2,0.015166667,0.878787879,0.038567493,0,0,0.082644628,363
Johanna Lake,2012,1169,0,81,69,42,#N/A,#N/A,#N/A,0.858927259,0,0.059515062,0.050698016,0.030859662,1361
Jonathan Lake,2012,204,2,33,0,36,1,0.482142857,0.145357143,0.741818182,0.007272727,0.12,0,0.130909091,275
Josephine Lake,2012,4593,0,141,0,177,#N/A,#N/A,#N/A,0.935247404,0,0.028711057,0,0.036041539,4911
Jubert Lake,2012,645,148,26,0,10,#N/A,#N/A,#N/A,0.778045838,0.178528347,0.031363088,0,0.012062726,829
July Lake,2012,150,28,14,0,8,1,0.999166667,0.109,0.75,0.14,0.07,0,0.04,200
Karth Lake,2012,3120,0,76,24,64,3,1.8,0.047357143,0.950060901,0,0.023142509,0.007308161,0.019488429,3284
Keller Lake,2012,2302,0,20,0,0,1,0.696428571,0.091714286,0.991386736,0,0.008613264,0,0,2322
Kingsley Lake,2012,328,0,34,0,0,#N/A,0,0.036923077,0.906077348,0,0.093922652,0,0,362
Kismet Lake,2012,66,34,0,0,6,#N/A,1.785,0.033846154,0.622641509,0.320754717,0,0,0.056603774,106
Klawitter Pond,2012,231,24,74,0,16,1,0.804230769,0.088666667,0.669565217,0.069565217,0.214492754,0,0.046376812,345
Kohlman Lake,2012,4235,4,472,64,231,#N/A,#N/A,#N/A,0.845984818,0.000799041,0.094286856,0.012784658,0.046144626,5006
Kramer Pond,2012,54,44,24,0,84,0,0.15,0.721666667,0.262135922,0.213592233,0.116504854,0,0.40776699,206
La Lake,2012,4757,91,306,0,893,2,1.490909091,0.100727273,0.786671077,0.015048785,0.050603605,0,0.147676534,6047
Lac Lavon Lake,2012,5034,0,19,0,0,4,3.564285714,0.026142857,0.996239858,0,0.003760142,0,0,5053
Laddie Lake,2012,7658,0,785,961,644,#N/A,#N/A,#N/A,0.76214172,0,0.078125,0.095640924,0.064092357,10048
Lake Forest,2012,3612,0,44,4,78,#N/A,#N/A,#N/A,0.966292135,0,0.011771001,0.001070091,0.020866774,3738
Lake of the Isles,2012,9496,0,8312,865,624,#N/A,#N/A,#N/A,0.492097217,0,0.43074053,0.044825621,0.032336633,19297
Langdon Lake,2012,7163,4,453,25,78,#N/A,#N/A,#N/A,0.927489318,0.000517933,0.058655963,0.003237084,0.010099702,7723
Langton Lake,2012,1458,2,108,37,84,#N/A,1.4,0.049166667,0.863232682,0.001184133,0.063943162,0.021906454,0.04973357,1689
Laura Lake,2012,4539,112,359,169,285,#N/A,#N/A,#N/A,0.830710102,0.020497804,0.065702782,0.030929722,0.05215959,5464
Lee Lake,2012,1030,0,135,2,0,2,1.853846154,0.043692308,0.88260497,0,0.115681234,0.001713796,0,1167
Legion Pond,2012,165,20,0,0,50,#N/A,#N/A,#N/A,0.70212766,0.085106383,0,0,0.212765957,235
Lemay Lake,2012,3923,0,491,166,58,#N/A,0,0.06,0.845838724,0,0.105864597,0.035791289,0.01250539,4638
Levander Pond,2012,11673,0,700,101,340,#N/A,0,0.225333333,0.910956766,0,0.054627751,0.007882004,0.026533479,12814
Libbs Lake,2012,5579,0,77,32,52,#N/A,#N/A,#N/A,0.97195122,0,0.013414634,0.005574913,0.009059233,5740
Lily Lake,2012,1198,0,228,0,224,2,1.836363636,0.052545455,0.726060606,0,0.138181818,0,0.135757576,1650
Linwood Lake,2012,972,171,66,0,277,#N/A,#N/A,#N/A,0.65410498,0.115074024,0.044414536,0,0.18640646,1486
Lippert Lake,2012,154,431,28,4,13,#N/A,#N/A,#N/A,0.244444444,0.684126984,0.044444444,0.006349206,0.020634921,630
Little Carnelian Lake,2012,378,100,0,0,70,#N/A,8,0.012,0.689781022,0.182481752,0,0,0.127737226,548
Little Johanna Lake,2012,692,0,18,0,30,2,1.746153846,0.058928571,0.935135135,0,0.024324324,0,0.040540541,740
Little Long Lake,2012,297,18,11,0,0,4,5.43,0.0863,0.911042945,0.055214724,0.033742331,0,0,326
Lochness Lake,2012,8361,200,291,208,398,2,1.6,0.071545455,0.884013534,0.02114612,0.030767604,0.021991964,0.042080778,9458
Lone Lake,2012,2203,0,177,107,109,#N/A,#N/A,#N/A,0.848613251,0,0.068181818,0.041217257,0.041987673,2596
Long Lake,2012,14187,46,415,110,442,2,1.771301887,0.08662963,0.933355263,0.003026316,0.027302632,0.007236842,0.029078947,15200
Loon Lake,2012,57,28,0,0,28,#N/A,0.86,0.0652,0.504424779,0.247787611,0,0,0.247787611,113
Lost Lake,2012,4093,0,307,128,236,#N/A,#N/A,#N/A,0.859151973,0,0.064441646,0.026868178,0.049538203,4764
Lotus Lake,2012,2938,0,76,24,121,#N/A,0.65,0.089,0.930041152,0,0.024058246,0.007597341,0.038303261,3159
Louise Lake,2012,42,38,0,0,20,#N/A,#N/A,#N/A,0.42,0.38,0,0,0.2,100
Lower Prior Lake,2012,1072,6,2,0,57,4,4.142857143,0.028857143,0.942832014,0.005277045,0.001759015,0,0.050131926,1137
Lucy Lake,2012,1392,2,14,0,79,2,1.766666667,0.075666667,0.936112979,0.00134499,0.009414929,0,0.053127102,1487
MacDonald Lake,2012,80,78,0,0,8,#N/A,#N/A,#N/A,0.481927711,0.469879518,0,0,0.048192771,166
Magda Lake,2012,3805,6,344,251,16,0,0.419230769,0.128846154,0.860470375,0.001356852,0.077792854,0.056761646,0.003618272,4422
Marcott Lake,2012,2963,12,96,55,0,3,2.428571429,0.035857143,0.947856686,0.003838772,0.030710173,0.01759437,0,3126
Maria Lake,2012,2448,622,249,0,391,0,0.174,0.3508,0.659838275,0.167654987,0.067115903,0,0.105390836,3710
Marion Lake,2012,10286,176,472,164,50,3,1.964285714,0.028571429,0.922676713,0.015787585,0.042339433,0.014711159,0.004485109,11148
Markgraf Lake,2012,974,10,128,0,194,0,0.359090909,0.148181818,0.745788668,0.007656968,0.098009188,0,0.148545176,1306
Markley Lake,2012,1505,8,52,0,165,#N/A,#N/A,#N/A,0.869942197,0.004624277,0.030057803,0,0.095375723,1730
Marsh Lake,2012,47,46,6,0,6,#N/A,#N/A,#N/A,0.447619048,0.438095238,0.057142857,0,0.057142857,105
Marshan Lake,2012,858,6,82,128,175,#N/A,#N/A,#N/A,0.68694956,0.004803843,0.065652522,0.102481986,0.14011209,1249
Martin Lake,2012,1648,228,302,0,169,#N/A,#N/A,#N/A,0.702172987,0.097145292,0.128674904,0,0.072006817,2347
Masterman Lake,2012,140,14,2,0,32,#N/A,1.52,0.055307692,0.744680851,0.074468085,0.010638298,0,0.170212766,188
McCarrons Lake,2012,23265,10,1336,417,1260,#N/A,#N/A,#N/A,0.885004565,0.000380402,0.050821668,0.015862751,0.047930615,26288
McDonald Lake,2012,298,10,0,0,26,2,1.628714286,0.083857143,0.892215569,0.02994012,0,0,0.077844311,334
McDonough Lake,2012,5327,0,34,0,4,#N/A,#N/A,#N/A,0.992917055,0,0.006337372,0,0.000745573,5365
McKnight Lake,2012,179,14,0,6,32,0,0.492307692,0.166461538,0.774891775,0.060606061,0,0.025974026,0.138528139,231
McKusick Lake,2012,1951,4,142,0,468,3,2.530818182,0.0555,0.760623782,0.001559454,0.055360624,0,0.18245614,2565
McMahon Lake,2012,2520,697,52,0,159,2,1.511111111,0.061777778,0.73512252,0.203325554,0.015169195,0,0.04638273,3428
Meadow Lake,2012,5614,0,408,182,63,#N/A,#N/A,#N/A,0.895803415,0,0.06510292,0.029041008,0.010052657,6267
Medicine Lake,2012,1534,0,62,62,25,2,1.775,0.044428571,0.911467617,0,0.036838978,0.036838978,0.014854427,1683
Medina Lake,2012,3761,117,386,80,215,#N/A,0.485714286,0.140571429,0.824961614,0.025663523,0.08466769,0.017547708,0.047159465,4559
Mergens Pond,2012,531,6,0,0,20,#N/A,#N/A,#N/A,0.953321364,0.010771993,0,0,0.035906643,557
Meuwissen Lake,2012,208,123,8,2,15,#N/A,#N/A,#N/A,0.584269663,0.345505618,0.02247191,0.005617978,0.042134831,356
Miller Lake,2012,60,145,4,0,8,0,0.588461538,0.219714286,0.276497696,0.668202765,0.01843318,0,0.036866359,217
Minnetoga Lake,2012,3010,0,48,12,14,3,2.207692308,0.034384615,0.976005188,0,0.015564202,0.003891051,0.004539559,3084
Minnetonka Lake,2012,500,0,14,0,12,#N/A,#N/A,#N/A,0.950570342,0,0.02661597,0,0.022813688,526
Minnewashta Lake,2012,2841,0,101,2,100,3,2.158333333,0.046166667,0.933311432,0,0.033180026,0.00065703,0.032851511,3044
Mitchell Lake,2012,2740,0,58,24,80,2,1.691666667,0.0585,0.94417643,0,0.019986216,0.008270159,0.027567195,2902
Mooney Lake,2012,7386,54,264,188,150,#N/A,#N/A,#N/A,0.918428252,0.006714748,0.032827655,0.023377269,0.018652077,8042
Moore Lake,2012,4621,0,174,60,550,#N/A,#N/A,#N/A,0.854949121,0,0.032192414,0.011100833,0.101757632,5405
Myers Lake,2012,47,107,13,8,5,#N/A,#N/A,#N/A,0.261111111,0.594444444,0.072222222,0.044444444,0.027777778,180
Nokomis Lake,2012,41869,0,7593,4293,3872,#N/A,#N/A,#N/A,0.72655179,0,0.131761154,0.07449633,0.067190727,57627
Normandale Lake,2012,6166,0,266,34,105,2,1.257142857,0.099214286,0.938365546,0,0.040480901,0.00517425,0.015979303,6571
North Twin Lake,2012,123,18,0,0,28,#N/A,0,0.029857143,0.727810651,0.106508876,0,0,0.165680473,169
Northwood Lake,2012,7955,0,302,268,58,1,0.745454545,0.218727273,0.92683211,0,0.035185832,0.031224514,0.006757544,8583
O'Connors Lake,2012,75,52,12,0,28,#N/A,1.933333333,0.047,0.449101796,0.311377246,0.071856287,0,0.167664671,167
O'Dowd Lake,2012,5062,59,116,0,388,2,1.671428571,0.046357143,0.899911111,0.010488889,0.020622222,0,0.068977778,5625
Oak Lake,2012,47,69,4,0,10,#N/A,#N/A,#N/A,0.361538462,0.530769231,0.030769231,0,0.076923077,130
Ohmans Lake,2012,1028,191,89,283,25,4,3.55625,0.020615385,0.636138614,0.118193069,0.055074257,0.175123762,0.015470297,1616
Olson Lake,2012,819,6,10,0,62,3,2.869230769,0.022,0.913043478,0.006688963,0.011148272,0,0.069119287,897
Oneka Lake,2012,809,236,36,0,82,#N/A,0,0.0294,0.695614789,0.202923474,0.030954428,0,0.070507309,1163
Orchard Lake,2012,2097,38,15,0,18,3,3.153846154,0.030461538,0.967250923,0.017527675,0.006918819,0,0.008302583,2168
Otter Lake,2012,2073,66,20,22,105,#N/A,#N/A,#N/A,0.906824147,0.028871391,0.008748906,0.009623797,0.045931759,2286
Owasso Lake,2012,4185,0,126,6,195,#N/A,#N/A,#N/A,0.927526596,0,0.027925532,0.001329787,0.043218085,4512
Ox Yoke Lake,2012,443,89,35,0,0,#N/A,#N/A,#N/A,0.781305115,0.15696649,0.061728395,0,0,567
Pamela Pond,2012,3686,0,170,24,13,#N/A,#N/A,#N/A,0.946827639,0,0.043668122,0.006164911,0.003339327,3893
Parkers Lake,2012,6325,10,432,332,200,3,2.690909091,0.031545455,0.866557063,0.001370051,0.05918619,0.045485683,0.027401014,7299
Parley Lake,2012,1239,57,118,26,31,#N/A,#N/A,#N/A,0.84228416,0.03874915,0.080217539,0.017675051,0.021074099,1471
Patterson Lake,2012,46,81,0,0,3,#N/A,#N/A,#N/A,0.353846154,0.623076923,0,0,0.023076923,130
Peltier Lake,2012,1088,179,80,26,306,#N/A,#N/A,#N/A,0.648004765,0.106611078,0.047647409,0.015485408,0.18225134,1679
Penn Lake,2012,19408,2,2189,1017,112,0,0.267857143,0.189785714,0.853924674,8.79972E-05,0.096312918,0.044746568,0.004927842,22728
Pepin Lake,2012,42,111,2,0,12,#N/A,#N/A,#N/A,0.251497006,0.664670659,0.011976048,0,0.071856287,167
Peter Lake,2012,479,100,33,26,22,#N/A,#N/A,#N/A,0.725757576,0.151515152,0.05,0.039393939,0.033333333,660
Phalen Lake,2012,25196,0,1171,226,1708,#N/A,#N/A,#N/A,0.890286562,0,0.04137663,0.007985584,0.060351224,28301
Pickerel Lake,2012,2838,782,70,32,247,#N/A,#N/A,#N/A,0.715041572,0.197026959,0.017636684,0.008062484,0.0622323,3969
Pierson Lake,2012,195,46,6,0,14,#N/A,#N/A,#N/A,0.747126437,0.176245211,0.022988506,0,0.053639847,261
Pike Lake,2012,2866,0,101,31,107,#N/A,#N/A,#N/A,0.923027375,0,0.03252818,0.009983897,0.034460548,3105
Pine Tree Lake,2012,307,38,22,0,18,4,2.981818182,0.026333333,0.797402597,0.098701299,0.057142857,0,0.046753247,385
Plaisted Lake,2012,55,62,0,0,14,2,1.597,0.096846154,0.419847328,0.473282443,0,0,0.106870229,131
Pleasant Lake,2012,1811,1246,118,0,316,#N/A,#N/A,#N/A,0.518762532,0.356917789,0.033801203,0,0.090518476,3491
Pomerleau Lake,2012,9294,162,86,22,377,#N/A,#N/A,#N/A,0.934916004,0.016296147,0.008651041,0.002213057,0.03792375,9941
Powers Lake,2012,505,0,42,0,126,4,4.536428571,0.198892857,0.750371471,0,0.062407132,0,0.187221397,673
Priebe Lake,2012,5689,0,148,0,191,0,0.223333333,0.35925,0.943762442,0,0.02455209,0,0.031685468,6028
Raven Lake,2012,3453,15,135,0,2,#N/A,#N/A,#N/A,0.957836338,0.004160888,0.037447989,0,0.000554785,3605
Rebecca Lake,2012,279,2,73,26,43,#N/A,#N/A,#N/A,0.659574468,0.004728132,0.172576832,0.061465721,0.101654846,423
